Localidade;Nome;Feature Profile;Ramal;Tipo;MAC;DDP;GPU;EP_REP;NP;Ramal Antigo;DNS-SRV
MCE;Monitoramento 2;FP_BR_Nac;552233790369;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233790369;gw101mcesrv.petrobras.biz
MCE;AUDIOCOM P 43;FP_BR_Res;552233777073;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233777073;gw101mcesrv.petrobras.biz
MCE;Audiometria;FP_BR_Nac;552233770019;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770019;gw101mcesrv.petrobras.biz
MCE;STRO2;FP_BR_Nac;552233790798;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233790798;gw101mcesrv.petrobras.biz
MCE;Data Center BC;FP_BR_Loc;552233770099;ATA Tipo A - 2 portas;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770099;gw101mcesrv.petrobras.biz
MCE;ELEVADOR PD 124;FP_BR_Res;552233776913;ATA Tipo A - 2 portas;-;767;-;EP_OSB_MCE_01;NP_MCE;552233776913;gw101mcesrv.petrobras.biz
MCE;INSPETOR;FP_BR_Loc;552233774743;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233774743;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113424;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113424;gw101mcesrv.petrobras.biz
MCE;STO IESUB 1;FP_BR_Int;552233792407;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233792407;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113399;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113399;gw101mcesrv.petrobras.biz
MCE;P Remoto 2 FMC;FP_BR_Nac;552233795858;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233795858;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113431;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113431;gw101mcesrv.petrobras.biz
MCE;PSP3 RECEPCAO;FP_BR_Res;552233775041;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233775041;gw101mcesrv.petrobras.biz
MCE;STRO1;FP_BR_Cel;552233790532;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233790532;gw101mcesrv.petrobras.biz
MCE;INSPETOR MANSERV;FP_BR_Res;552233770052;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770052;gw101mcesrv.petrobras.biz
MCE;STRO1;FP_BR_Res;552233791677;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;2201;EP_OSB_MCE_01;NP_MCE;552233791677;gw101mcesrv.petrobras.biz
MCE;FISCAL REM P 3;FP_BR_Nac;552233770149;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770149;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113400;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113400;gw101mcesrv.petrobras.biz
MCE;COTUR;FP_BR_Int;552233772244;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;2202;EP_OSB_MCE_01;NP_MCE;552233772244;gw101mcesrv.petrobras.biz
MCE;PSP2 CARGAS;FP_BR_Res;552233772086;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233772086;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA 8800;FP_BR_Res;552111113442;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113442;gw101mcesrv.petrobras.biz
MCE;Receb materiais;FP_BR_Loc;552233770024;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770024;gw101mcesrv.petrobras.biz
MCE;SALA CRISE;FP_BR_Nac;552233793147;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233793147;gw101mcesrv.petrobras.biz
MCE;CASELI ELEV C;FP_BR_Res;552233772173;Sem aquisição - mesmo ATA do 552233772145;-;767;-;EP_OSB_MCE_01;NP_MCE;552233772173;gw101mcesrv.petrobras.biz
MCE;FISCAL REMOTO P1;FP_BR_Nac;552233792164;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233792164;gw101mcesrv.petrobras.biz
MCE;CTA UN BC;FP_BR_Cel;552233770800;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770800;gw101mcesrv.petrobras.biz
MCE;SCR P19 PRODUC;FP_BR_Res;552233770089;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770089;gw101mcesrv.petrobras.biz
MCE;SCR P56;FP_BR_Nac;552233778756;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778756;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113402;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113402;gw101mcesrv.petrobras.biz
MCE;SCR PGP 1 FAC;FP_BR_Nac;552233778780;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778780;gw101mcesrv.petrobras.biz
MCE;SCR P43;FP_BR_Nac;552233778743;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778743;gw101mcesrv.petrobras.biz
MCE;Anne Franco;FP_BR_Cel;552233778270;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778270;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113408;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113408;gw101mcesrv.petrobras.biz
MCE;PSEGOM;FP_BR_Nac;552233790650;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233790650;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113420;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113420;gw101mcesrv.petrobras.biz
MCE;COTUR SUB;FP_BR_Int;552233795279;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233795279;gw101mcesrv.petrobras.biz
MCE;PSP4 PIER;FP_BR_Loc;552233774751;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233774751;gw101mcesrv.petrobras.biz
MCE;SCR P48;FP_BR_Nac;552233778748;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778748;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113432;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113432;gw101mcesrv.petrobras.biz
MCE;CSDEE;FP_BR_Nac;552233770362;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770362;gw101mcesrv.petrobras.biz
MCE;Jose Alves;FP_BR_Nac;552233775486;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233775486;gw101mcesrv.petrobras.biz
MCE;PSP3 APAC;FP_BR_Res;552233774740;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233774740;gw101mcesrv.petrobras.biz
MCE;ELEVADOR;FP_BR_Loc;552233770319;ATA Tipo A - 2 portas;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770319;gw101mcesrv.petrobras.biz
MCE;CASELI ELEV A;FP_BR_Res;552233772145;ATA Tipo B - 4 portas;-;767;-;EP_OSB_MCE_01;NP_MCE;552233772145;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113438;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113438;gw101mcesrv.petrobras.biz
MCE;SCR P-47;FP_BR_Cel;552233770036;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770036;gw101mcesrv.petrobras.biz
MCE;CMSO;FP_BR_Nac;552233770346;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;2202;EP_OSB_MCE_01;NP_MCE;552233770346;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113430;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113430;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113434;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113434;gw101mcesrv.petrobras.biz
MCE;SERVICO DE SAUDE;FP_BR_Nac;552233778292;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;2203;EP_OSB_MCE_01;NP_MCE;552233778292;gw101mcesrv.petrobras.biz
MCE;SCR P-47;FP_BR_Cel;552233778398;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778398;gw101mcesrv.petrobras.biz
MCE;FISC REMOTA ANC;FP_BR_Cel;552233778275;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778275;gw101mcesrv.petrobras.biz
MCE;CONTROLE ISBM;FP_BR_Int;552233790383;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233790383;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113437;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113437;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113418;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113418;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113405;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113405;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113409;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113409;gw101mcesrv.petrobras.biz
MCE;Monitoramento 1;FP_BR_Nac;552233790505;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233790505;gw101mcesrv.petrobras.biz
MCE;TURNO OPERACOES;FP_BR_Nac;552233774781;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233774781;gw101mcesrv.petrobras.biz
MCE;SL CONTROLE;FP_BR_Nac;552233772031;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233772031;gw101mcesrv.petrobras.biz
MCE;CGOR LIDER;FP_BR_Nac;552233778232;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778232;gw101mcesrv.petrobras.biz
MCE;ELEVADORFERRADAE;FP_BR_Res;552233771999;Sem aquisição - mesmo ATA do 552233771988;-;767;-;EP_OSB_MCE_01;NP_MCE;552233771999;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA;FP_BR_Res;552233777172;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233777172;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113428;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113428;gw101mcesrv.petrobras.biz
MCE;STO EQSE 1;FP_BR_Nac;552233790545;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;2201;EP_OSB_MCE_01;NP_MCE;552233790545;gw101mcesrv.petrobras.biz
MCE;AUDIOCOM P48;FP_BR_Res;552233777049;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233777049;gw101mcesrv.petrobras.biz
MCE;OFFLOADING;FP_BR_Nac;552233772372;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;2202;EP_OSB_MCE_01;NP_MCE;552233772372;gw101mcesrv.petrobras.biz
MCE;Marina;FP_BR_Loc;552233770111;ATA Tipo A - 2 portas;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770111;gw101mcesrv.petrobras.biz
MCE;ELEVADOR CPD PD;FP_BR_Res;552233770048;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770048;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113413;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113413;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA 8800;FP_BR_Loc;552111113582;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113582;gw101mcesrv.petrobras.biz
MCE;STO EQSE 2;FP_BR_Nac;552233790550;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;2201;EP_OSB_MCE_01;NP_MCE;552233790550;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113414;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113414;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113407;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113407;gw101mcesrv.petrobras.biz
MCE;SCR FACILIDADES;FP_BR_Res;552233770066;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770066;gw101mcesrv.petrobras.biz
MCE;INTEGRADOR CONTR;FP_BR_Int;552233790504;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;2201;EP_OSB_MCE_01;NP_MCE;552233790504;gw101mcesrv.petrobras.biz
MCE;LOG5 COI BC;FP_BR_Nac;552233772250;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;2202;EP_OSB_MCE_01;NP_MCE;552233772250;gw101mcesrv.petrobras.biz
MCE;CMEC;FP_BR_Nac;552233770482;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770482;gw101mcesrv.petrobras.biz
MCE;CCO OLEO;FP_BR_Nac;552233772245;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;2202;EP_OSB_MCE_01;NP_MCE;552233772245;gw101mcesrv.petrobras.biz
MCE;ATREX I;FP_BR_Loc;552233770004;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233770004;gw101mcesrv.petrobras.biz
MCE;Sl Contingencia;FP_BR_Int;552233773149;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233773149;gw101mcesrv.petrobras.biz
MCE;CFTV;FP_BR_Res;552233774246;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;2204;EP_OSB_MCE_01;NP_MCE;552233774246;gw101mcesrv.petrobras.biz
MCE;CONTROLE GDSO;FP_BR_Nac;552233799941;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233799941;gw101mcesrv.petrobras.biz
MCE;Havila;FP_BR_Loc;552233778233;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778233;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113417;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113417;gw101mcesrv.petrobras.biz
MCE;GCAR ANC;FP_BR_Int;552233790363;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;-;EP_OSB_MCE_01;NP_MCE;552233790363;gw101mcesrv.petrobras.biz
MCE;CONTROLE MI AUP;FP_BR_Nac;552233790501;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;769;2201;EP_OSB_MCE_01;NP_MCE;552233790501;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113422;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113422;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113423;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113423;gw101mcesrv.petrobras.biz
MCE;EMERGENCIA-8800-IMBETIBA;FP_BR_Res;552111113397;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;798;-;EP_OSB_MCE_01;NP_HOTLINE_8800;552111113397;gw101mcesrv.petrobras.biz
MCE;SCR DE P38;FP_BR_Int;552233778738;Aparelho Telefônico IP Tipo I / Unify / Desk Phone DP10;-;767;-;EP_OSB_MCE_01;NP_MCE;552233778738;gw101mcesrv.petrobras.biz
